"","geneSymbol","UniProtID","refSeqID","length"
"1241","MDM4","O15151","NM_002393",490
"1242","BET1","O15155","NM_005868",118
"1243","ZBTB7B","O15156","NM_015872",539
"1244","POLR1C","O15160","NM_004875",346
"1245","PLSCR1","O15162","NM_021105",318
"1246","TRIM24","O15164","NM_015905",1050
"1247","LDLRAD4","O15165","NM_181481",306
"1248","AXIN1","O15169","",862
"1249","PSPHP1","O15172","XM_926720",72
"1250","PGRMC2","O15173","",223
"1251","T","O15178","NM_003181",435
"1252","CETN3","O15182","NM_004365",167
"1253","CTDSPL","O15194","NM_005808",276
"1254","VILL","O15195","NM_015873",856
"1255","EPHB6","O15197","",1021
"1256","SMAD9","O15198","NM_005905",467
"1257","ADAMDEC1","O15204","NM_014479",470
"1258","UBD","O15205","",165
"1259","ZBTB22","O15209","",634
"1260","RGL2","O15211","",777
"1261","PFDN6","O15212","NM_014260",129
"1262","WDR46","O15213","NM_005452",610
"1263","GSTA4","O15217","NM_001512",222
"1264","GPR182","O15218","NM_007264",404
"1265","INE1","O15225","NR_024616",51
"1266","NKRF","O15226","NM_017544",690
"1267","GNPAT","O15228","",680
"1268","KMO","O15229","NM_003679",486
"1269","LAMA5","O15230","NM_005560",3695
"1270","ZNF185","O15231","NM_007150",689
"1271","MATN3","O15232","NM_002381",486
"1272","CASC3","O15234","NM_007359",703
"1273","MRPS12","O15235","",138
"1274","NDUFA1","O15239","NM_004541",70
"1275","VGF","O15240","NM_003378",615
"1276","LEPROT","O15243","NM_017526",131
"1277","SLC22A2","O15244","NM_003058",555
"1278","SLC22A1","O15245","",554
"1279","CLIC2","O15247","NM_001289",247
"1280","ACOX3","O15254","",700
"1281","RER1","O15258","",196
"1282","NPHP1","O15259","NM_000272",732
"1283","SURF4","O15260","NM_033161",269
"1284","DEFB4A","O15263","NM_004942",64
"1285","DEFB4B","O15263","",64
"1286","MAPK13","O15264","",365
"1287","ATXN7","O15265","NM_000333",892
"1288","SHOX","O15266","NM_000451",292
"1289","SPTLC1","O15269","NM_006415",473
"1290","SPTLC2","O15270","NM_004863",562
"1291","TCAP","O15273","NM_003673",167
"1292","FANCG","O15287","NM_004629",622
"1293","OGT","O15294","NM_003605, NM_181672",1046
"1294","ALOX15B","O15296","",676
"1295","PPM1D","O15297","NM_003620",605
"1296","GRM6","O15303","",877
"1297","SIVA1","O15304","NM_006427",175
"1298","PMM2","O15305","NM_000303",246
"1299","RAD51B","O15315","",384
"1300","POLR3G","O15318","NM_006467",223
"1301","CTAGE5","O15320","NM_005930",804
"1302","TM9SF1","O15321","NM_006405",606
"1303","INPP4B","O15327","NM_003866",924
"1304","CHAD","O15335","NM_001267",359
"1305","ATP6V0E1","O15342","NM_003945",81
"1306","MID1","O15344","",667
"1307","HMGB3","O15347","NM_005342",200
"1308","TP73","O15350","NM_005427",636
"1309","FOXN1","O15353","",648
"1310","GPR37","O15354","NM_005302",613
"1311","PPM1G","O15355","NM_002707",546
"1312","INPPL1","O15357","NM_001567",1258
"1313","FANCA","O15360","",1455
"1314","SOX12","O15370","NM_006943",315
"1315","EIF3D","O15371","",548
"1316","EIF3H","O15372","NM_003756",352
"1317","SLC16A4","O15374","NM_004696",487
"1318","SLC16A5","O15375","NM_004695",505
"1319","HDAC3","O15379","NM_003883",428
"1320","NVL","O15381","NM_002533",856
"1321","BCAT2","O15382","",392
"1322","SIGLEC5","O15389","NM_003830",551
"1323","YY2","O15391","NM_206923",372
"1324","BIRC5","O15392","NM_001168",142
"1325","TMPRSS2","O15393","",492
"1326","NCAM2","O15394","NM_004540",837
"1327","IPO8","O15397","NM_006390",1037
"1328","GRIN2D","O15399","",1336
"1329","STX7","O15400","",261
"1330","SLC16A6","O15403","NM_004694",523
"1331","TOX3","O15405","XM_049037",576
"1332","FOXP2","O15409","NM_014491",715
"1333","TNRC18","O15417","",2968
"1334","SLC16A3","O15427","NM_004207",465
"1335","PIN1P1","O15428","NR_023916",100
"1336","SLC31A1","O15431","NM_001859",190
"1337","SLC31A2","O15432","NM_001860",143
"1338","ABCC3","O15438","NM_020038",1527
"1339","ABCC4","O15439","NM_005845",1325
"1340","ABCC5","O15440","NM_005688",1437
"1341","MPPED1","O15442","NM_001044370",326
"1342","CCL25","O15444","NM_005624",150
"1343","CD3EAP","O15446","NM_012099",510
"1344","NBR2","O15453","NR_003108",112
"1345","TLR3","O15455","",904
"1346","MSH4","O15457","NM_002440",936
"1347","P4HA2","O15460","NM_004199",535
"1348","ST8SIA5","O15466","NM_013305",376
"1349","CCL16","O15467","NM_004590",120
"1350","MAGEB2","O15479","NM_002364",319
"1351","MAGEB3","O15480","NM_002365",346
"1352","MAGEB4","O15481","NM_002367",346
"1353","TEX28P2","O15482","XM_927078",410
"1354","TEX28P1","O15482","NG_005787",410
"1355","TEX28","O15482","NM_001586",410
"1356","CAPN5","O15484","NM_004055",640
"1357","GYG2","O15488","NM_003918",501
"1358","RGS16","O15492","NM_002928",202
"1359","PLA2G10","O15496","NM_003561",165
"1360","YKT6","O15498","NM_006555",198
"1361","GSC2","O15499","NM_005315",205
"1362","INSIG1","O15503","NM_198336",277
"1363","NUPL2","O15504","NM_007342",423
"1364","ARPC5","O15511","NM_005717",151
"1365","POLR2D","O15514","NM_004805",142
"1366","CLOCK","O15516","NM_004898",846
"1367","CFLAR","O15519","NM_003879",480
"1368","FGF10","O15520","NM_004465",208
"1369","NKX2-8","O15522","",239
"1370","DDX3Y","O15523","NM_004660",660
"1371","SOCS1","O15524","",211
"1372","MAFG","O15525","NM_002359",162
"1373","OGG1","O15527","NM_016821",345
"1374","CYP27B1","O15528","NM_000785",508
"1375","GPR42","O15529","NM_005305",346
"1376","PDPK1","O15530","",556
"1377","TAPBP","O15533","",448
"1378","PER1","O15534","",1290
"1379","ZSCAN9","O15535","NM_006299",394
"1380","RS1","O15537","",224
"1381","RGS5","O15539","NM_003617",181
"1382","FABP7","O15540","NM_001446",132
"1383","RNF113A","O15541","NM_006978",343
"1384","C3orf27","O15544","NM_007354",149
"1385","P2RX6","O15547","NM_005446",441
"1386","KDM6A","O15550","NM_021140",1401
"1387","CLDN3","O15551","NM_001306",220
"1388","FFAR2","O15552","NM_005306",330
"1389","MEFV","O15553","NM_000243",781
"1390","KCNN4","O15554","NM_002250",427
"1391","ERVK-18","O42043","",560
"1392","DHX15","O43143","NM_001358",795
"1393","SGSM2","O43147","NM_014853",1006
"1394","RNMT","O43148","NM_003799",476
"1395","ZZEF1","O43149","NM_015113",2961
"1396","ASAP2","O43150","NM_003887",1006
"1397","TET3","O43151","",1660
"1398","FLRT2","O43155","",660
"1399","TTI1","O43156","NM_014657",1089
"1400","PLXNB1","O43157","NM_002673",2135
"1401","RRP8","O43159","NM_015324",456
"1402","PJA2","O43164","NM_014819",708
"1403","SIPA1L1","O43166","NM_015556",1804
"1404","ZBTB24","O43167","NM_014797",697
"1405","CYB5B","O43169","NM_030579",146
"1406","PRPF4","O43172","NM_004697",522
"1407","ST8SIA3","O43173","NM_015879",380
"1408","CYP26A1","O43174","",497
"1409","PHGDH","O43175","NM_006623",533
"1410","NDUFS4","O43181","NM_002495",175
"1411","ARHGAP6","O43182","NM_013427",974
"1412","ADAM12","O43184","",909
"1413","CRX","O43186","NM_000554",299
"1414","IRAK2","O43187","",625
"1415","PHF1","O43189","",567
"1416","MLNR","O43193","NM_001507",412
"1417","GPR39","O43194","",453
"1418","MSH5","O43196","",834
"1419","4-Sep","O43236","NM_080417",478
"1420","DYNC1LI2","O43237","NM_006141",492
"1421","KLK10","O43240","NM_002776",276
"1422","PSMD3","O43242","NM_002809",534
"1423","SLC7A4","O43246","NM_004173",635
"1424","TEX33","O43247","NM_178552",280
"1425","HOXC11","O43248","",304
"1426","RBFOX2","O43251","",390
"1427","PAPSS1","O43252","",624
"1428","SIAH2","O43255","NM_005067",324
"1429","ZNHIT1","O43257","NM_006349",154
"1430","DLEU1","O43261","NR_002605",78
"1431","ZW10","O43264","NM_004724",779
"1432","PRODH","O43272","NM_016335",600
"1433","SPINT1","O43278","NM_003710",529
"1434","TREH","O43280","NM_007180",583
"1435","EFS","O43281","",561
"1436","MAP3K13","O43283","NM_004721",966
"1437","B4GALT5","O43286","NM_004776",388
"1438","SART1","O43290","",800
"1439","SPINT2","O43291","",252
"1440","GPAA1","O43292","NM_003801",621
"1441","DAPK3","O43293","NM_001348",454
"1442","TGFB1I1","O43294","",461
"1443","SRGAP3","O43295","",1099
"1444","ZNF264","O43296","",627
"1445","ZBTB43","O43298","NM_001135776",467
"1446","AP5Z1","O43299","",807
"1447","LRRTM2","O43300","",516
"1448","HSPA12A","O43301","NM_025015",675
"1449","CCP110","O43303","NM_014711",1012
"1450","SEC14L5","O43304","",696
"1451","ADCY6","O43306","NM_020983",1168
"1452","ARHGEF9","O43307","",516
"1453","ZSCAN12","O43309","NM_014724",604
"1454","CTIF","O43310","NM_014772",598
"1455","MTSS1","O43312","NM_014751",755
"1456","ATMIN","O43313","NM_015251",823
"1457","PPIP5K2","O43314","NM_015216",1243
"1458","AQP9","O43315","NM_020980",295
"1459","PAX4","O43316","",350
"1460","MAP3K7","O43318","NM_145331",606
"1461","FGF16","O43320","NM_003868",207
"1462","DHH","O43323","NM_021044",396
"1463","EEF1E1","O43324","NM_004280",174
"1464","LYRM1","O43325","NM_020424",122
"1465","ZNF208","O43345","NM_007153",1280
"1466","MSI1","O43347","NM_002442",362
"1467","RIPK2","O43353","",540
"1468","ZNF749","O43361","NM_001023561",778
"1469","HOXA2","O43364","",376
"1470","HOXA3","O43365","",443
"1471","RASA4","O43374","NM_006989",803
"1472","WDR62","O43379","NM_015671",1518
"1473","HNRNPR","O43390","NM_005826",633
"1474","PRPF3","O43395","NM_004698",683
"1475","TXNL1","O43396","",289
"1476","TPD52L2","O43399","",206
"1477","EMC8","O43402","NM_006067",210
"1478","COCH","O43405","NM_004086",550
"1479","ERI3","O43414","NM_024066",337
"1480","PRKRIR","O43422","NM_004705",761
"1481","ANP32C","O43423","NM_012403",234
"1482","GRID2","O43424","",1007
"1483","SYNJ1","O43426","",1573
"1484","FIBP","O43427","NM_198897",364
"1485","EIF4G3","O43432","NM_003760",1585
"1486","TBX1","O43435","NM_080647",398
"1487","CBFA2T2","O43439","NM_001032999",604
"1488","PPIH","O43447","NM_006347",177
"1489","KCNAB3","O43448","NM_004732",404
"1490","MGAM","O43451","",1857
"1491","MBTPS2","O43462","",519
"1492","SUV39H1","O43463","NM_003173",412
"1493","HTRA2","O43464","NM_013247",458
"1494","KLF4","O43474","NM_004235",513
"1495","OIP5","O43482","NM_007280",229
"1496","AKR7A2","O43488","NM_003689",359
"1497","PROM1","O43490","NM_006017",865
"1498","EPB41L2","O43491","",1005
"1499","TGOLN2","O43493","NM_006464",480
"1500","CACNA1G","O43497","NM_018896",2377
"1501","RAD51C","O43502","NM_058216",376
"1502","LAMTOR5","O43504","NM_006402",91
"1503","B3GNT1","O43505","NM_006876",415
"1504","ADAM20","O43506","",726
"1505","TNFSF12","O43508","NM_003809",249
"1506","SLC26A4","O43511","NM_000441",780
"1507","MED7","O43513","NM_004270",233
"1508","WIPF1","O43516","NM_003387",503
"1509","ATP8B1","O43520","NM_005603",1251
"1510","BCL2L11","O43521","",198
"1511","FOXO3","O43524","",673
"1512","KCNQ3","O43525","NM_004519",872
"1513","KCNQ2","O43526","NM_172109",872
"1514","CHST10","O43529","NM_004854",356
"1515","SMAD6","O43541","NM_005585",496
"1516","XRCC3","O43542","NM_005432",346
"1517","XRCC2","O43543","NM_005431",280
"1518","TGM5","O43548","NM_004245",720
"1519","GNRH2","O43555","NM_001501",120
"1520","SGCE","O43556","",437
"1521","TNFSF14","O43557","",240
"1522","FRS3","O43559","NM_006653",492
"1523","LAT","O43561","",262
"1524","RGS14","O43566","NM_006480",566
"1525","RNF13","O43567","NM_183384",381
"1526","CA12","O43570","NM_001218",354
"1527","AKAP10","O43572","NM_007202",662
"1528","SYT7","O43581","NM_004200",403
"1529","DENR","O43583","NM_003677",198
"1530","PSTPIP1","O43586","NM_003978",416
"1531","XPOT","O43592","NM_007235",962
"1532","HR","O43593","",1189
"1533","SPRY2","O43597","",315
"1534","DNPH1","O43598","NM_006443",174
"1535","DCX","O43602","NM_178153",441
"1536","GALR2","O43603","",387
"1537","SPRY1","O43609","",319
"1538","SPRY3","O43610","NM_005840",288
"1539","HCRT","O43612","NM_001524",131
"1540","HCRTR1","O43613","NM_001525",425
"1541","HCRTR2","O43614","",444
"1542","TIMM44","O43615","",452
"1543","TRAPPC3","O43617","NM_014408",180
"1544","SNAI2","O43623","NM_003068",268
"1545","CHMP2A","O43633","NM_014453",222
"1546","FOXS1","O43638","NM_004118",330
"1547","NCK2","O43639","NM_003581",380
"1548","PSCA","O43653","NM_005672",123
"1549","TSPAN6","O43657","",245
"1550","PLRG1","O43660","NM_002669",514
"1551","PRC1","O43663","NM_003981",620
"1552","RGS10","O43665","NM_002925",173
"1553","ZNF207","O43670","",478
"1554","NDUFB5","O43674","NM_002492",189
"1555","NDUFB3","O43676","NM_002491",98
"1556","NDUFC1","O43677","NM_002494",76
"1557","NDUFA2","O43678","NM_002488",99
"1558","LDB2","O43679","",373
"1559","TCF21","O43680","NM_198392",179
"1560","ASNA1","O43681","NM_004317",348
"1561","BUB1","O43683","NM_004336",1085
"1562","BUB3","O43684","",328
"1563","AKAP7","O43687","NM_004842",104
"1564","PPAP2C","O43688","",288
"1565","PI15","O43692","NM_015886",258
"1566","SIGLEC6","O43699","NM_001245",453
"1567","SULT1B1","O43704","NM_014465",296
"1568","ACTN4","O43707","",911
"1569","GSTZ1","O43708","NM_145870",216
"1570","WBSCR22","O43709","",281
"1571","TLX3","O43711","",291
"1572","TRIAP1","O43715","NM_016399",76
"1573","GATC","O43716","NM_176818",136
"1574","HTATSF1","O43719","NM_014500",755
"1575","KDELR3","O43731","",214
"1576","TRAF3IP2","O43734","",574
"1577","ITM2A","O43736","NM_004867",263
"1578","CYTH3","O43739","NM_004227",400
"1579","PRKAB2","O43741","NM_005399",272
"1580","CHP2","O43745","NM_022097",196
"1581","AP1G1","O43747","",822
"1582","OR1F1","O43749","",312
"1583","STX6","O43752","NM_005819",255
"1584","SYNGR1","O43759","NM_004711",233
"1585","SYNGR2","O43760","",224
"1586","SYNGR3","O43761","",229
"1587","TLX2","O43763","",284
"1588","SGTA","O43765","NM_003021",313
"1589","LIAS","O43766","NM_194451",372
"1590","ENSA","O43768","NM_207042",121
"1591","SLC25A20","O43772","NM_000387",301
"1592","NARS","O43776","NM_004539",548
"1593","DYRK3","O43781","NM_003582",588
"1594","KRT86","O43790","NM_002284",486
"1595","SPOP","O43791","NM_003563",374
"1596","MYO1B","O43795","NM_012223",1136
"1597","SSNA1","O43805","NM_003731",119
"1598","SLC25A17","O43808","NM_006358",307
"1599","NUDT21","O43809","NM_007006",227
"1600","DUX1","O43812","NM_012146",170
"1601","LANCL1","O43813","NM_006055",399
"1602","STRN","O43815","",780
"1603","RRP9","O43818","NM_004704",475
"1604","SCO2","O43819","NM_005138",266
"1605","HYAL3","O43820","NM_003549",417
"1606","C21orf2","O43822","NM_004928",256
"1607","AKAP8","O43823","NM_005858",692
"1608","GTPBP6","O43824","NM_012227",516
"1609","B3GALT2","O43825","NM_003783",422
"1610","SLC37A4","O43826","NM_001467",429
"1611","ANGPTL7","O43827","NM_021146",346
"1612","ZBTB14","O43829","NM_003409",449
"1613","ZNF73","O43830","",326
"1614","IDH3B","O43837","",385
"1615","NRD1","O43847","NM_002525",1150
"1616","CALU","O43852","NM_001219",315
"1617","EDIL3","O43854","NM_005711",480
"1618","ATP9B","O43861","NM_198531",1147
"1619","AHCYL1","O43865","",530
"1620","CD5L","O43866","NM_005894",347
"1621","SLC28A2","O43868","NM_004212",658
"1622","OR2T1","O43869","",369
"1623","CREB3","O43889","NM_006368",395
"1624","XPNPEP2","O43895","NM_003399",674
"1625","KIF1C","O43896","",1103
"1626","TLL1","O43897","",1013
"1627","PRICKLE3","O43900","NM_006150",615
"1628","GAS2","O43903","NM_177553",313
"1629","KLRC4","O43908","NM_013431",158
"1630","EXTL3","O43909","NM_001440",919
"1631","ORC5","O43913","NM_002553",435
"1632","TYROBP","O43914","",113
"1633","FIGF","O43915","NM_004469",354
"1634","CHST1","O43916","NM_003654",411
"1635","AIRE","O43918","",545
"1636","NDUFS5","O43920","NM_004552",106
"1637","EFNA2","O43921","NM_001405",213
"1638","PDE6D","O43924","",150
"1639","CXCL13","O43927","",109
"1640","ORC4","O43929","NM_181742",436
"1641","PRKY","O43930","",277
"1642","PEX1","O43933","NM_000466",1283
"1643","MFSD11","O43934","NM_024311",449
"1644","RAD21","O60216","NM_006265",631
"1645","AKR1B10","O60218","NM_020299",316
"1646","TIMM8A","O60220","NM_004085",97
"1647","SSX4","O60224","",188
"1648","SSX4B","O60224","",188
"1649","SSX5","O60225","NM_021015",188
"1650","KALRN","O60229","NM_003947",2985
"1651","DHX16","O60231","NM_003587",1041
"1652","SSSCA1","O60232","NM_006396",199
"1653","GMFG","O60234","",142
"1654","TMPRSS11D","O60235","NM_004262",418
"1655","PPP1R12B","O60237","NM_032105",982
"1656","BNIP3L","O60238","NM_004331",219
"1657","SH3BP5","O60239","NM_004844",455
"1658","PLIN1","O60240","NM_002666",522
"1659","BAI2","O60241","NM_001703",1585
"1660","BAI3","O60242","",1522
"1661","HS6ST1","O60243","NM_004807",411
"1662","MED14","O60244","NM_004229",1454
"1663","PCDH7","O60245","NM_032457, NM_002589",1069
"1664","SOX15","O60248","NM_006942",233
"1665","PRPSAP2","O60256","NM_002767",369
"1666","FGF17","O60258","NM_003867",216
"1667","KLK8","O60259","NM_007196",260
"1668","PARK2","O60260","",465
"1669","GNG7","O60262","NM_052847",68
"1670","SMARCA5","O60264","",1052
"1671","ADCY3","O60266","",1144
"1672","KIAA0513","O60268","NM_014732",411
"1673","GPRIN2","O60269","NM_014696",458
"1674","SPAG9","O60271","NM_003971",1321
"1675","SUSD5","O60279","XM_171054",629
"1676","ZNF292","O60281","NM_015021",2723
"1677","KIF5C","O60282","NM_004522",957
"1678","ST18","O60284","",1047
"1679","NUAK1","O60285","NM_014840",661
"1680","URB1","O60287","",2271
"1681","ZNF862","O60290","NM_001099220",1169
"1682","MGRN1","O60291","",552
"1683","SIPA1L3","O60292","XM_032278",1781
"1684","ZFC3H1","O60293","NM_144982",1989
"1685","LCMT2","O60294","NM_014793",686
"1686","TRAK2","O60296","NM_015049",914
"1687","KIAA0556","O60303","NM_015202",1618
"1688","ZNF500","O60304","XM_085507",480
"1689","AQR","O60306","NM_014691",1485
"1690","MAST3","O60307","XM_038150",1309
"1691","CEP104","O60308","NM_014704",925
"1692","LRRC37A3","O60309","NM_199340",1634
"1693","ATP10A","O60312","NM_024490",1499
"1694","OPA1","O60313","NM_130837",960
"1695","ZEB2","O60315","NM_014795",1214
"1696","MCM3AP","O60318","NM_003906",1980
"1697","FAM189A1","O60320","NM_015307",539
"1698","PCDHGA12","O60330","NM_003735",932
"1699","PIP5K1C","O60331","NM_012398",668
"1700","KIF1B","O60333","",1816
"1701","MAPKBP1","O60336","NM_014994",1514
"1702","6-Mar","O60337","NM_005885",910
"1703","KDM1A","O60341","NM_015013",852
"1704","TBC1D4","O60343","NM_014832",1298
"1705","ECE2","O60344","NM_014693",883
"1706","PHLPP1","O60346","NM_194449",1717
"1707","TBC1D12","O60347","",775
"1708","FZD6","O60353","NM_003506",706
"1709","NUPR1","O60356","NM_012385",82
"1710","CACNG3","O60359","NM_006539",315
"1711","NME2P1","O60361","NR_001577",137
"1712","HBP1","O60381","NM_012257",514
"1713","GDF9","O60383","NM_005260",454
"1714","ZNF861P","O60384","",105
"1715","GRIN3B","O60391","",1043
"1716","NOBOX","O60393","XM_001134420",691
"1717","COX7A2P2","O60397","NG_004712",106
"1718","OR10H2","O60403","",315
"1719","OR10H3","O60404","",316
"1720","OR7C2","O60412","",319
"1721","ONECUT3","O60422","",494
"1722","ATP8B3","O60423","NM_138813",1300
"1723","FADS1","O60427","NM_013402",444
"1724","OR1I1","O60431","",355
"1725","PPL","O60437","NM_002705",1756
"1726","DFNA5","O60443","NM_004403",496
"1727","EVI5","O60447","NM_005665",810
"1728","LY75","O60449","",1722
"1729","NRP2","O60462","",931
"1730","DSCAM","O60469","NM_001389",2012
"1731","MAN1A2","O60476","NM_006699",641
"1732","BRINP1","O60477","NM_014618",761
"1733","GPR137B","O60478","NM_003272",399
"1734","DLX3","O60479","",287
"1735","ZIC3","O60481","",467
"1736","PLXNC1","O60486","",1568
"1737","MPZL2","O60487","NM_005797",215
"1738","ACSL4","O60488","NM_004458",711
"1739","SNX3","O60493","",162
"1740","CUBN","O60494","NM_001081",3623
"1741","DOK2","O60496","NM_003974",412
"1742","STX10","O60499","NM_003765",249
"1743","NPHS1","O60500","",1241
"1744","MGEA5","O60502","NM_012215",916
"1745","ADCY9","O60503","",1353
"1746","SORBS3","O60504","NM_005775",671
"1747","SYNCRIP","O60506","NM_006372",623
"1748","TPST1","O60507","NM_003596",370
"1749","CDC40","O60508","NM_015891",579
"1750","B4GALT3","O60512","NM_003779",393
"1751","B4GALT4","O60513","NM_003778",344
"1752","EIF4EBP3","O60516","NM_003732",100
"1753","RANBP6","O60518","NM_012416",1105
"1754","CREBL2","O60519","NM_001310",120
"1755","TDRD6","O60522","XM_166443",2096
"1756","NEMF","O60524","NM_004713",1076
"1757","PSPN","O60542","NM_004158",156
"1758","CIDEA","O60543","NM_001279",219
"1759","GMDS","O60547","",372
"1760","FOXD2","O60548","NM_004474",495
"1761","NMT2","O60551","NM_004808",498
"1762","CCNT1","O60563","NM_001240",726
"1763","GREM1","O60565","NM_013372",184
"1764","BUB1B","O60566","",1050
"1765","PLOD3","O60568","",738
"1766","EIF4E2","O60573","NM_004846",245
"1767","SPINK4","O60575","NM_014471",86
"1768","CCNT2","O60583","NM_058241",730
"1769","TLR5","O60602","NM_003268",858
"1770","TLR2","O60603","",784
"1771","GFRA3","O60609","NM_001496",400
"1772","DIAPH1","O60610","NM_005219",1272
"1773","TSPAN1","O60635","NM_005727",241
"1774","TSPAN2","O60636","NM_005725",221
"1775","TSPAN3","O60637","NM_005724",253
"1776","SNAP91","O60641","",907
"1777","EXOC3","O60645","NM_007277",756
"1778","UGT1A9","O60656","NM_021027",530
"1779","PDE8A","O60658","NM_002605",829
"1780","KLHL41","O60662","NM_006063",606
"1781","LMX1B","O60663","",402
"1782","PLIN3","O60664","NM_005817",434
"1783","FAIM3","O60667","NM_005449",390
"1784","SLC16A7","O60669","NM_004731",478
"1785","RAD1","O60671","NM_002853",282
"1786","REV3L","O60673","NM_002912",3130
"1787","JAK2","O60674","",1132
"1788","MAFK","O60675","NM_002360",156
"1789","CST8","O60676","",142
"1790","PRMT3","O60678","NM_005788",531
"1791","MSC","O60682","NM_005098",206
"1792","PEX10","O60683","NM_153818",326
"1793","KPNA6","O60684","NM_012316",536
"1794","SRPX2","O60687","NM_014467",465
"1795","YPEL1","O60688","NM_013313",119
"1796","UGDH","O60701","NM_003359",494
"1797","TPST2","O60704","NM_003595",377
"1798","ABCC9","O60706","NM_005691",1549
"1799","LPXN","O60711","NM_004811",386
"1800","CTNND1","O60716","NM_001331",968
"1801","SLC24A1","O60721","NM_004727",1099
"1802","ICMT","O60725","NM_012405",284
"1803","CDC14B","O60729","NM_033331",498
"1804","MAGEC1","O60732","NM_005462",1142
"1805","PLA2G6","O60733","NM_001004426",806
"1806","EIF1B","O60739","NM_005875",113
"1807","HCN1","O60741","NM_021072",890
"1808","SNX2","O60749","NM_003100",519
"1809","GALR3","O60755","",368
"1810","CYTIP","O60759","NM_004288",359
"1811","HPGDS","O60760","NM_014485",199
"1812","DPM1","O60762","NM_003859",260
"1813","USO1","O60763","NM_003715",962
"1814","ZNF354A","O60765","NM_005649",605
"1815","FMO6P","O60774","XM_371326",539
"1816","SLC19A2","O60779","NM_006996",497
"1817","MRPS14","O60783","NM_022100",128
"1818","TOM1","O60784","NM_005488",492
"1819","TBX19","O60806","NM_005149",448
"1820","PRAMEF10","O60809","XM_496342",474
"1821","PRAMEF4","O60810","NM_001009611",478
"1822","PRAMEF2","O60811","NM_023014",474
"1823","HNRNPCL1","O60812","NM_001013631",293
"1824","PRAMEF11","O60813","XM_496341",436
"1825","HIST1H2BK","O60814","NM_080593",126
"1826","PFKFB2","O60825","",505
"1827","CCDC22","O60826","NM_014008",627
"1828","PQBP1","O60828","NM_001032381.1",265
"1829","PAGE4","O60829","",102
"1830","TIMM17B","O60830","NM_005834",172
"1831","PRAF2","O60831","NM_007213",178
"1832","DKC1","O60832","NM_001363",514
"1833","CACNA1F","O60840","NM_005183",1977
"1834","EIF5B","O60841","NM_015904",1220
"1835","ZG16","O60844","NM_152338",167
"1836","TRIM13","O60858","NM_001007278",407
"1837","GAS7","O60861","NM_003644, NM_201432, NM_201433",476
"1838","EDF1","O60869","",148
"1839","KIN","O60870","NM_012311",393
"1840","DIAPH2","O60879","NM_006729, NM_007309",1101
"1841","SH2D1A","O60880","NM_002351",128
"1842","MMP20","O60882","",483
"1843","GPR37L1","O60883","NM_004767",481
"1844","DNAJA2","O60884","",412
"1845","BRD4","O60885","NM_058243",1362
"1846","CUTA","O60888","NM_015921",179
"1847","OPHN1","O60890","NM_002547",802
"1848","RAMP1","O60894","NM_005855",148
"1849","RAMP2","O60895","NM_005854",175
"1850","RAMP3","O60896","NM_005856",148
"1851","SHOX2","O60902","",331
"1852","SMPD2","O60906","",423
"1853","TBL1X","O60907","NM_005647",577
"1854","B4GALT2","O60909","NM_003780",372
"1855","CTSV","O60911","NM_001333",334
"1856","HUS1","O60921","NM_004507",280
"1857","PFDN1","O60925","NM_002622",122
"1858","PPP1R11","O60927","NM_021959",126
"1859","KCNJ13","O60928","NM_002242",360
"1860","RNASEH1","O60930","",286
"1861","CTNS","O60931","NM_004937",367
"1862","NBN","O60934","NM_001024688",754
"1863","NOL3","O60936","",219
"1864","KERA","O60938","NM_007035",352
"1865","SCN2B","O60939","NM_004588",215
"1866","DTNB","O60941","NM_033147",627
"1867","RNGTT","O60942","",597
"1868","ERVK-19","O71037","",699
"1869","FCGR3B","O75015","NM_000570",233
"1870","LILRA1","O75019","NM_006863",489
"1871","LILRB3","O75022","NM_006864",631
"1872","LILRB5","O75023","",590
"1873","ABCB7","O75027","NM_004299",752
"1874","MITF","O75030","NM_198159",526
"1875","HSF2BP","O75031","NM_007031",334
"1876","KIF21B","O75037","XM_371332",1637
"1877","PLCH2","O75038","NM_014638",1416
"1878","SRGAP2","O75044","NM_015326",1071
"1879","PLXNA2","O75051","NM_025179",1894
"1880","NOS1AP","O75052","NM_014697",506
"1881","IGSF3","O75054","NM_001542",1194
"1882","SDC3","O75056","NM_014654",442
"1883","DNAJC6","O75061","",913
"1884","FAM20B","O75063","NM_014864",409
"1885","DENND4B","O75064","XM_375806",1496
"1886","TMCC2","O75069","NM_014858",709
"1887","EFCAB14","O75071","NM_014774",495
"1888","FKTN","O75072","NM_006731",461
"1889","LRP3","O75074","",770
"1890","ADAM23","O75077","NM_003812",832
"1891","ADAM11","O75078","NM_002390",769
"1892","CBFA2T3","O75081","NM_005187",653
"1893","WDR1","O75083","",606
"1894","FZD7","O75084","NM_003507",574
"1895","SLIT1","O75093","NM_003061",1534
"1896","SLIT3","O75094","NM_003062",1523
"1897","MEGF6","O75095","NM_001409",1541
"1898","LRP4","O75096","NM_002334",1905
"1899","AOC2","O75106","NM_009590, NM_001158",756
"1900","ATP9A","O75110","NM_006045",1047
"1901","LDB3","O75112","",727
"1902","N4BP1","O75113","NM_014664",896
"1903","ROCK2","O75116","",1388
"1904","MFAP3L","O75121","NM_021647",409
"1905","CLASP2","O75122","NM_001207044",1294
