"","geneSymbol","mRNA_medvals"
"CHRDL1","CHRDL1",51.5685
"RPL10","RPL10",10076.6007
"SMARCA2","SMARCA2",1523.5628
"DLX5","DLX5",22.63935
"DYNC1H1","DYNC1H1",8259.5619
"PDE4D","PDE4D",272.6994
"PLCG2","PLCG2",272.1308
"XRCC2","XRCC2",42.8388
"AKR1C2","AKR1C2",297.01595
"AKR1C4","AKR1C4",0
"SKIV2L","SKIV2L",1046.3199
"EIF4G1","EIF4G1",9211.4853
"MASP1","MASP1",13.11165
"PTPRO","PTPRO",52.6508
"HMGA1","HMGA1",849.1213
"MUC5B","MUC5B",12.7537
"MTNR1B","MTNR1B",0
"DYRK1A","DYRK1A",1503.3715
"MYLK","MYLK",1065.9733
"IL11RA","IL11RA",162.9853
"MAP3K1","MAP3K1",1806.84965
"SCARB1","SCARB1",1201.3896
"PLA2G5","PLA2G5",22.8847
"KIF1A","KIF1A",3.9884
"SLCO2A1","SLCO2A1",393.51195
"MYO1E","MYO1E",1276.8959
"NCF4","NCF4",188.8292
"VPS35","VPS35",2807.1135
"EZH2","EZH2",417.56285
"GATA6","GATA6",53.242
"ORC1","ORC1",44.2819
"SIGMAR1","SIGMAR1",1004.8118
"PLCD1","PLCD1",293.72565
"DDOST","DDOST",6115.3237
"RAB18","RAB18",1988.47005
"DNASE1L3","DNASE1L3",3.5394
"WIPF1","WIPF1",1055.3368
"FADD","FADD",594.12015
"CDC6","CDC6",328.9586
"IGFBP7","IGFBP7",5759.41215
"EPB41L1","EPB41L1",1362.72175
"CACNG2","CACNG2",0
"RAD51D","RAD51D",164.8927
"ARID1A","ARID1A",2198.1463
"ORC4","ORC4",331.1367
"BAP1","BAP1",1185.75435
"SMAD3","SMAD3",1207.846
"SMARCE1","SMARCE1",2371.2871
"CUL3","CUL3",1345.8099
"RTN2","RTN2",177.1092
"KIF22","KIF22",1004.4928
"KISS1","KISS1",1.3125
"FZD6","FZD6",783.5861
"CRADD","CRADD",159.3809
"AIMP1","AIMP1",895.4936
"SLC24A1","SLC24A1",350.1025
"ADAM17","ADAM17",805.4176
"ABCG2","ABCG2",46.875
"BANF1","BANF1",1529.1676
"NDUFA9","NDUFA9",1399.96715
"NDUFA10","NDUFA10",1599.75705
"NDUFB3","NDUFB3",413.87195
"EFTUD2","EFTUD2",2074.4868
"GOSR2","GOSR2",847.7071
"BLOC1S6","BLOC1S6",886.0185
"MAN1B1","MAN1B1",1647.48535
"LAMC3","LAMC3",174.5613
"NEK1","NEK1",381.8241
"SLCO1B1","SLCO1B1",0
"MED23","MED23",564.0165
"SH2B3","SH2B3",736.45035
"CYP26B1","CYP26B1",77.1072
"DIABLO","DIABLO",970.5842
"CORIN","CORIN",10.55915
"NCSTN","NCSTN",3578.2497
"JPH2","JPH2",18.6606
"RBM8A","RBM8A",2048.68595
"ABCB6","ABCB6",567.4836
"IL17RA","IL17RA",321.6989
"SLCO1B3","SLCO1B3",0
"IL36RN","IL36RN",42.6523
"CDT1","CDT1",195.49725
"GP6","GP6",1.5163
"MYOZ2","MYOZ2",0.2967
"RIPK4","RIPK4",515.8202
"KLHL3","KLHL3",59.7232
"KAT6B","KAT6B",516.4674
"PIGL","PIGL",44.9615
"PIGN","PIGN",469.6645
"TPK1","TPK1",63.2742
"B3GAT3","B3GAT3",793.7385
"IL17F","IL17F",0
"GDF3","GDF3",0.47185
"SP7","SP7",0
"JAM3","JAM3",207.5529
"NDUFAF1","NDUFAF1",261.01165
"COG6","COG6",483.7607
"LIAS","LIAS",161.486
"TRPV3","TRPV3",1.52045
"MRPL3","MRPL3",2605.6624
"PLCB1","PLCB1",262.3874
"FYCO1","FYCO1",1128.0539
"ORC6","ORC6",4.339
"SMOC2","SMOC2",218.75
"AP4S1","AP4S1",92.209
"AP4E1","AP4E1",321.1817
"AP4B1","AP4B1",326.69445
"ADAMTS18","ADAMTS18",2.27155
"PSENEN","PSENEN",1640.6838
"CNNM2","CNNM2",194.73405
"CEP57","CEP57",770.49225
"NAGPA","NAGPA",253.5026
"HES7","HES7",0.8011
"NFU1","NFU1",525.75255
"WDR19","WDR19",349.8515
"DHDDS","DHDDS",659.8856
"CHSY1","CHSY1",1360.8991
"SNIP1","SNIP1",287.844
"SMOC1","SMOC1",25.4237
"PRICKLE2","PRICKLE2",245.8891
"ANO6","ANO6",1647.16355
"PSMC3IP","PSMC3IP",59.4272
"BMPER","BMPER",7.46335
"CDON","CDON",153.3309
"GIPC3","GIPC3",66.9856
"MAFB","MAFB",328.0116
"FFAR4","FFAR4",1.1066
"IER3IP1","IER3IP1",1882.09575
"NDE1","NDE1",444.71725
"IL31RA","IL31RA",0.6743
"CPA6","CPA6",0.7723
"ILDR1","ILDR1",7.2318
"TCTN1","TCTN1",533.51595
"ATOH7","ATOH7",1.4231
"TUBGCP6","TUBGCP6",695.12625
"TECR","TECR",1520.1136
"POLR1C","POLR1C",452.3791
"DNAL1","DNAL1",262.2602
"LEPREL1","LEPREL1",172.10485
"AGK","AGK",523.17815
"GLYCTK","GLYCTK",71.1493
"CEP41","CEP41",189.4974
"CTHRC1","CTHRC1",556.4202
"NAT8L","NAT8L",47.9611
"ANKRD26","ANKRD26",131.5939
"ARHGAP31","ARHGAP31",484.8643
"LRSAM1","LRSAM1",487.134
"SYT14","SYT14",5.7316
"FAM20A","FAM20A",150.4106
"SLC30A10","SLC30A10",0.79835
"ANKRD11","ANKRD11",2570.567
"DNAJC5","DNAJC5",2066.5684
"KIF7","KIF7",120.474
"TDRD7","TDRD7",487.83
"DNAJB6","DNAJB6",1369.705
"CALR3","CALR3",0
"SRCAP","SRCAP",3580.2239
"ERLIN2","ERLIN2",2514.41725
"HEPACAM","HEPACAM",0.4515
"KHDC3L","KHDC3L",0
"B9D2","B9D2",28.0098
"TTC21B","TTC21B",317.3845
"AARS2","AARS2",441.0009
"CHKB","CHKB",257.08155
"MEGF10","MEGF10",4.5113
"COLEC11","COLEC11",13.9804
"WRAP53","WRAP53",274.06175
"SMARCAD1","SMARCAD1",641.4579
"SARS2","SARS2",309.4964
"PDZD7","PDZD7",11.6964
"ASXL1","ASXL1",1381.6668
"CTC1","CTC1",468.4989
"BOLA3","BOLA3",501.0828
"SLX4","SLX4",162.5641
"SCARF2","SCARF2",121.6192
"MSRB3","MSRB3",315.15135
"ANO10","ANO10",718.82165
"KBTBD13","KBTBD13",0
"RNF213","RNF213",3191.84195
"CCDC39","CCDC39",7.4608
"CCDC40","CCDC40",41.6665
"TTC19","TTC19",806.6337
"TCTN2","TCTN2",364.1721
"DPY19L2","DPY19L2",21.7519
"TGM6","TGM6",0
"COA5","COA5",375.752
"LIPN","LIPN",0
"PRPF6","PRPF6",3044.3894
"IMPAD1","IMPAD1",2532.428
"ZBTB24","ZBTB24",298.8643
"IFT43","IFT43",168.98815
"TMCO1","TMCO1",2572.9053
"B9D1","B9D1",109.2175
"CCDC8","CCDC8",57.6534
"NOP56","NOP56",2237.3364
"ZNF644","ZNF644",900.7557
"PRDM5","PRDM5",25.9965
"NBEAL2","NBEAL2",931.5015
"DIS3L2","DIS3L2",443.0583
"DOCK6","DOCK6",685.4349
"ASCC1","ASCC1",493.569
"OPLAH","OPLAH",279.9346
"ACSF3","ACSF3",362.83855
"POLR3A","POLR3A",415.6672
"WDR65","WDR65",1.1264
"C9ORF72","C9ORF72",218.011
"BICC1","BICC1",74.77365
"C19ORF12","C19ORF12",487.5048
"TRMT44","TRMT44",188.95855
"POLR3B","POLR3B",237.4179
"PRRT2","PRRT2",30.6513
"RHBDF2","RHBDF2",1002.3875
"TMEM237","TMEM237",482.39195
"TSHZ1","TSHZ1",702.6152
"TMEM138","TMEM138",731.8621
"C8ORF37","C8ORF37",72.5496
"FKBP14","FKBP14",225.0399
"BRAT1","BRAT1",831.0592
"GPR179","GPR179",2.1968
"NDUFA12","NDUFA12",975.4932
"ARID1B","ARID1B",1531.6571
"DIAPH3","DIAPH3",144.16715
"C5ORF42","C5ORF42",330.939
"ROGDI","ROGDI",341.0457
"TTC37","TTC37",1147.152
"CEACAM16","CEACAM16",0.00415
"IFITM3","IFITM3",7878.8622
"DNAAF3","DNAAF3",55.50475
"ISPD","ISPD",44.58545
"UVSSA","UVSSA",128.8272
"GAS1","GAS1",16.38605
"RNF170","RNF170",438.0087
"COQ6","COQ6",345.2419
"GUCY2C","GUCY2C",0.6925
"CARD14","CARD14",50.0618
"WDR81","WDR81",778.3375
"DST","DST",2694.3878
"GNAI3","GNAI3",1824.20955
"PLCB4","PLCB4",78.34825
"SF3B4","SF3B4",2225.1889
"GATAD1","GATAD1",700.9219
"HTR1A","HTR1A",0
"SRP72","SRP72",1965.3484
"CEP135","CEP135",202.12255
"NSUN2","NSUN2",1588.5733
"IFT140","IFT140",581.7718
"EXOSC3","EXOSC3",220.5719
"KANSL1","KANSL1",1018.55165
"CCDC103","CCDC103",104.2017
"DAG1","DAG1",3489.7436
"MYPN","MYPN",0.4515
"PDLIM3","PDLIM3",435.3741
"IRX5","IRX5",50.39095
"STAT4","STAT4",33.9322
"FUZ","FUZ",278.4516
"TMLHE","TMLHE",126.45885
"DUSP22","DUSP22",816.7255
"TMEM132D","TMEM132D",0.2587
"ZNF595","ZNF595",111.9617
"CSMD1","CSMD1",2.709
"CHRNA7","CHRNA7",6.6953
"FRG1","FRG1",553.3385
"ZNF804B","ZNF804B",0
"LRIG3","LRIG3",504.3478
"LRBA","LRBA",1461.75675
"RAD21","RAD21",4229.8251
"SLC52A2","SLC52A2",1075.8311
"MTO1","MTO1",357.8469
"GJC3","GJC3",1.4933
"CEP63","CEP63",506.5391
"TMEM165","TMEM165",1384.047
"NNT","NNT",1250.1784
"SERAC1","SERAC1",231.239
"MPC1","MPC1",273.4513
"HOXB1","HOXB1",0
"ITGA3","ITGA3",4357.9767
"SEMA7A","SEMA7A",161.7527
"PIGO","PIGO",834.0611
"HOPX","HOPX",2024.3951
"LIG3","LIG3",619.9295
"NOS1AP","NOS1AP",21.22525
"FCGR3B","FCGR3B",19.74705
"VAX1","VAX1",0
"NFIX","NFIX",1381.6712
"GRIP1","GRIP1",48.46235
"SLC17A3","SLC17A3",0
"ADCY5","ADCY5",13.4524
"CAMTA1","CAMTA1",436.6609
"CCDC11","CCDC11",9.4229
"RAB40AL","RAB40AL",1.0958
"PFN1","PFN1",10507.5419
"CCS","CCS",349.0471
"NBAS","NBAS",1094.5118
"RBPJ","RBPJ",605.7586
"TCTN3","TCTN3",1141.9173
"POC1A","POC1A",124.8586
"KMT2A","KMT2A",1382.6766
"TGFB2","TGFB2",105.8644
"TFG","TFG",2316.2508
"CCDC78","CCDC78",27.8046
"FAN1","FAN1",375.65005
"SMAD6","SMAD6",32.3273
"NMNAT1","NMNAT1",192.9204
"IFITM5","IFITM5",0.09555
"GRM1","GRM1",2.0937
"RTTN","RTTN",166.2583
"POMGNT2","POMGNT2",382.0614
"C4ORF26","C4ORF26",0.3372
"MCM4","MCM4",1435.5566
"CFHR5","CFHR5",0
"HDAC8","HDAC8",313.67715
"SKI","SKI",1467.8869
"TRAF3","TRAF3",238.7409
"TICAM1","TICAM1",608.83995
"ZNF423","ZNF423",51.149
"NIN","NIN",1005.3683
"CEP164","CEP164",423.81945
"BMP1","BMP1",973.9343
"WDR11","WDR11",940.5376
"TSPEAR","TSPEAR",0.97885
"HINT1","HINT1",4340.4018
"ABCD4","ABCD4",548.8663
"STK4","STK4",1118.3904
"CRH","CRH",0
"SCG5","SCG5",79.2832
"LRIT3","LRIT3",2.067
"DPM2","DPM2",1122.1834
"SARDH","SARDH",36.4742
"EXPH5","EXPH5",144.9182
"INPPL1","INPPL1",1934.9764
"ECEL1","ECEL1",6.80775
"TMEM38B","TMEM38B",97.5994
"SLC5A7","SLC5A7",0
"ANO3","ANO3",2.6972
"CYP2U1","CYP2U1",151.965
"SNRPE","SNRPE",711.329
"MEOX1","MEOX1",21.3755
"SLC30A2","SLC30A2",3.8042
"PNPLA1","PNPLA1",1.124
"DHTKD1","DHTKD1",993.5761
"CLCF1","CLCF1",110.8981
"PHYKPL","PHYKPL",302.1437
"DGKE","DGKE",78.7465
"PACS1","PACS1",2506.2794
"PDGFRB","PDGFRB",1817.2623
"EDA2R","EDA2R",18.6362
"KCNT1","KCNT1",0.7678
"TMEM5","TMEM5",316.5653
"SLC52A1","SLC52A1",14.42215
"LARP7","LARP7",838.3275
"HARS2","HARS2",546.646
"CHD8","CHD8",1695.9014
"CCDC114","CCDC114",15.205
"GATAD2B","GATAD2B",1032.9228
"DDHD1","DDHD1",354.4304
"TECPR2","TECPR2",620.0306
"DDHD2","DDHD2",952.6694
"HEATR2","HEATR2",773.0075
"CIB2","CIB2",160.8641
"HS6ST1","HS6ST1",947.49255
"HCFC1","HCFC1",2234.7118
"DNAJB2","DNAJB2",1492.9787
"HYDIN","HYDIN",22.1836
"CASC5","CASC5",120.45765
"CIZ1","CIZ1",1859.83785
"CACNA1D","CACNA1D",80.13685
"SEMA3A","SEMA3A",65.1794
"PEX11B","PEX11B",708.2871
"CABP2","CABP2",0
"AAGAB","AAGAB",1082.4687
"RPL26","RPL26",8679.7036
"VPS37A","VPS37A",687.2285
"BCKDK","BCKDK",1070.5951
"CALM1","CALM1",5047.2352
"RMND1","RMND1",375.3071
"COX7B","COX7B",1688.9439
"LZTFL1","LZTFL1",322.6083
"ALG13","ALG13",422.0961
"HOXC13","HOXC13",3.3099
"EARS2","EARS2",801.7716
"LRRC6","LRRC6",28.7632
"COL14A1","COL14A1",468.8159
"PNPT1","PNPT1",713.0057
"NOL3","NOL3",280.0454
"CAPN5","CAPN5",805.3648
"PIK3R2","PIK3R2",1688.50395
"AKT3","AKT3",358.9419
"TMEM231","TMEM231",208.277
"CLIC2","CLIC2",295.0688
"FARS2","FARS2",209.5338
"MTFMT","MTFMT",207.4741
"MFF","MFF",1053.1041
"CHMP1A","CHMP1A",2599.5113
"ATP2B3","ATP2B3",5e-04
"CYP26C1","CYP26C1",0
"MEGF8","MEGF8",1108.71465
"IGSF1","IGSF1",5.6546
"AP1S1","AP1S1",872.5591
"SMCHD1","SMCHD1",1046.8165
"CCDC88C","CCDC88C",252.2807
"LRP1","LRP1",6207.325
"GRIA1","GRIA1",0.4384
"GNAL","GNAL",30.2457
"CAMK2G","CAMK2G",443.0452
"PSMA7","PSMA7",1593.76755
"PHIP","PHIP",1339.6735
"EPG5","EPG5",592.63565
"KLHL10","KLHL10",1.1967
"OR2J3","OR2J3",0
"POLD1","POLD1",494.57415
"POLE","POLE",877.1797
"SNX10","SNX10",914.36745
"MGME1","MGME1",436.8226
"EIF4E","EIF4E",522.79235
"MIB1","MIB1",1448.30255
"ZNF335","ZNF335",543.4275
"ALDH1A3","ALDH1A3",424.35565
"LRIG2","LRIG2",193.8637
"CELSR3","CELSR3",140.9451
"POLG2","POLG2",119.42495
"CORO1A","CORO1A",651.942
"TENM3","TENM3",110.5685
"PPM1K","PPM1K",175.9946
"DNA2","DNA2",111.4676
"GBA2","GBA2",1050.437
"UQCRC2","UQCRC2",3015.88795
"WDR45","WDR45",700.0532
"C10ORF11","C10ORF11",25.1799
"B3GALNT2","B3GALNT2",598.0136
"GNB4","GNB4",1079.8248
"C12ORF57","C12ORF57",1239.0334
"LAMB1","LAMB1",3384.82045
"ACTN1","ACTN1",4135.7395
"SLC25A1","SLC25A1",1245.641
"CTF1","CTF1",38.3195
"LAMA4","LAMA4",1395.9509
"NEBL","NEBL",18.8324
"ANKRD1","ANKRD1",1.1207
"FHL2","FHL2",1167.3753
"SIRT1","SIRT1",520.2608
"PIK3R1","PIK3R1",1985.2088
"CARD11","CARD11",137.0202
"PIK3R5","PIK3R5",106.9323
"MPDZ","MPDZ",305.5425
"RAB33B","RAB33B",241.3521
"UBE3B","UBE3B",1095.5651
"WNT1","WNT1",0.575
"ZNF141","ZNF141",84.5295
"ATP5A1","ATP5A1",7612.6639
"SLC1A1","SLC1A1",117.9473
"SLC35A2","SLC35A2",897.13885
"RBP3","RBP3",0
"ILK","ILK",1969.5098
"STEAP3","STEAP3",869.8482
"CLMP","CLMP",60.6516
"CIDEC","CIDEC",0.3747
"ARHGDIA","ARHGDIA",7482.1981
"TTC7A","TTC7A",801.7535
"POMK","POMK",33.271
"STAMBP","STAMBP",731.64
"DEPDC5","DEPDC5",315.0322
"GNAQ","GNAQ",1477.9802
"DUSP6","DUSP6",946.6667
"FGF17","FGF17",0.3615
"IL17RD","IL17RD",160.3295
"SPRY4","SPRY4",682.8214
"SLC26A8","SLC26A8",0.6912
"RNF216","RNF216",1287.0028
"OTUD4","OTUD4",1061.0897
"ATP8A2","ATP8A2",7.349
"ASB10","ASB10",0
"HSF2","HSF2",265.7577
"NGLY1","NGLY1",503.5252
"ZC4H2","ZC4H2",40.9605
"TUBB4A","TUBB4A",98.09805
"DARS","DARS",2035.3723
"SBF1","SBF1",1651.4235
"B3GNT1","B3GNT1",578.1983
"PIEZO1","PIEZO1",2441.338
"EOGT","EOGT",300.1204
"MUC1","MUC1",597.5731
"CERS3","CERS3",2.0553
"DRC1","DRC1",1.4437
"GFM2","GFM2",497.9636
"BICD2","BICD2",1031.5795
"EXOC8","EXOC8",440.2352
"CLPP","CLPP",1138.1115
"LARS2","LARS2",490.1169
"KCTD1","KCTD1",1197.84055
"VPS45","VPS45",936.15395
"TCF12","TCF12",2012.3549
"LGR4","LGR4",510.23315
"ERF","ERF",919.89655
"KAT5","KAT5",929.3252
"JUN","JUN",3489.777
"KRT18","KRT18",8616.3423
"DNAJC13","DNAJC13",1531.95215
"POFUT1","POFUT1",2289.7528
"FAM111A","FAM111A",752.0849
"SMAD2","SMAD2",1613.39225
"ADAT3","ADAT3",87.6791
"IBA57","IBA57",158.7838
"IRF8","IRF8",209.8779
"MKRN3","MKRN3",4.1169
"TOP3B","TOP3B",327.6051
"CHL1","CHL1",222.05585
"RBFOX1","RBFOX1",0
"CNTN4","CNTN4",16.4069
"C8ORF33","C8ORF33",1171.1171
"GRM7","GRM7",0.2684
"DOK6","DOK6",8.547
"GPC5","GPC5",0.9814
"TARSL2","TARSL2",246.6667
"GRM8","GRM8",2.8875
"STX2","STX2",290.28385
"TMTC1","TMTC1",206.44495
"SNRPN","SNRPN",1082.25685
"ANGPT1","ANGPT1",112.0521
"SLC39A10","SLC39A10",555.52985
"RFPL4B","RFPL4B",0
"LRP5L","LRP5L",32.9513
"TBC1D22A","TBC1D22A",381.4856
"IRX1","IRX1",0.8146
"CNTN6","CNTN6",0.05345
"KLF12","KLF12",342.21415
"MACROD2","MACROD2",58.128
"CACNA1B","CACNA1B",1.0115
"FHIT","FHIT",62.4878
"SLC8A1","SLC8A1",148.7172
"CALN1","CALN1",1.0935
"CNTNAP4","CNTNAP4",0.35865
"PCLO","PCLO",73.3333
"TCERG1L","TCERG1L",1.4045
"AUTS2","AUTS2",282.167
"CDH19","CDH19",2.32765
"SOX6","SOX6",111.3184
"FGF13","FGF13",30
"ZNF92","ZNF92",178.5006
"CRYL1","CRYL1",354.7701
"PICK1","PICK1",381.5233
"FRMPD4","FRMPD4",0.4285
"SH3KBP1","SH3KBP1",651.3965
"ITM2A","ITM2A",96.5137
"DCAF12L2","DCAF12L2",0.42765
"PCDH11Y","PCDH11Y",0.343
"DAB1","DAB1",0.3419
"LPHN2","LPHN2",377.8756
"ROBO1","ROBO1",787.59645
"CADM2","CADM2",1.4132
"ZBTB20","ZBTB20",6.5561
"DAAM1","DAAM1",379.2231
"CAMK1D","CAMK1D",64.9456
"TBC1D1","TBC1D1",988.9065
"NRG3","NRG3",1.4364
"DCLK2","DCLK2",96.0452
"SORCS1","SORCS1",1.5893
"SEMA5A","SEMA5A",287.1908
"FBXL7","FBXL7",136.41885
"CDH18","CDH18",0.02995
"HCN1","HCN1",0.3156
"PCDH9","PCDH9",19.8568
"SPRY2","SPRY2",773.60525
"LRRC4C","LRRC4C",5.26555
"SYT13","SYT13",33.9286
"NALCN","NALCN",11.9944
"MIPOL1","MIPOL1",48.2054
"CLEC14A","CLEC14A",212.959
"TENM4","TENM4",106.141
"CADM1","CADM1",393.72825
"UBASH3B","UBASH3B",258.2468
"MDGA2","MDGA2",0.38555
"MAPK6","MAPK6",1497.3208
"TLE3","TLE3",1364.2592
"HS6ST3","HS6ST3",0.35335
"FAM110C","FAM110C",8.1902
"PTPRN2","PTPRN2",51.083
"AKAP13","AKAP13",2536.4639
"CHD2","CHD2",2091.3688
"MCTP2","MCTP2",97.1593
"SNTG1","SNTG1",0
"NKAIN2","NKAIN2",5.5107
"PTPRD","PTPRD",39.0545
"BNC2","BNC2",93.89935
"ASTN2","ASTN2",61.0249
"CPXCR1","CPXCR1",0
"YWHAE","YWHAE",10006.8172
"EPB41L4A","EPB41L4A",117.33615
"GLTSCR2","GLTSCR2",5004.169
"SNTG2","SNTG2",0.1962
"TBX18","TBX18",24.9116
"HDAC9","HDAC9",193.52375
"CDK14","CDK14",293.9787
"CNTNAP5","CNTNAP5",0
"EXOC4","EXOC4",1424.4352
"CWC22","CWC22",549.426
"TFAP2C","TFAP2C",291.9827
"NCAM2","NCAM2",25.8121
"ST3GAL1","ST3GAL1",1124.85775
"RFX3","RFX3",60.89175
"SYN3","SYN3",5.0497
"TUSC1","TUSC1",1650.5489
"BRINP1","BRINP1",1.1062
"MLLT3","MLLT3",403.1995
"EPHA4","EPHA4",61.6345
"INADL","INADL",717.4464
"PDE4B","PDE4B",398.0059
"NEGR1","NEGR1",38.0838
"CTNNA3","CTNNA3",0.3044
"GUCY1A2","GUCY1A2",12.7797
"SOX5","SOX5",10.6811
"ZNF608","ZNF608",248.7179
"KHDRBS2","KHDRBS2",0.12645
"AHR","AHR",1865.9723
"MAGI2","MAGI2",116.646
"SHFM1","SHFM1",3022.2484
"NPTX2","NPTX2",28.8875
"PRR16","PRR16",40.8651
"TFRC","TFRC",1939.0533
"ACTR3B","ACTR3B",175.8167
"BTRC","BTRC",444.9495
"TRIML1","TRIML1",0
"TAB3","TAB3",733.5698
"AJAP1","AJAP1",4.4978
"ZNF804A","ZNF804A",5.6476
"RND3","RND3",684.01145
"PTPRT","PTPRT",1.66135
"TIAM1","TIAM1",211.6107
"MPHOSPH6","MPHOSPH6",418.1336
"RPH3AL","RPH3AL",102.51535
"GPR137B","GPR137B",738.8663
"MME","MME",160.41955
"NAALADL2","NAALADL2",46.43065
"HS3ST1","HS3ST1",73.0962
"WDFY3","WDFY3",949.5587
"ADCYAP1","ADCYAP1",5.6828
"CTNND2","CTNND2",1.4272
"FIGN","FIGN",14.9765
"CDH12","CDH12",1.4286
"KRBOX4","KRBOX4",170.20585
"PCDH11X","PCDH11X",0.83655
"OR13H1","OR13H1",0
"SMAD1","SMAD1",449.1803
"KCNK3","KCNK3",14.51735
"B3GALT6","B3GALT6",503.75195
"RIT1","RIT1",817.94645
"TRAPPC11","TRAPPC11",670.7942
"KLHL40","KLHL40",0
"B4GALNT1","B4GALNT1",52.2268
"GMPPB","GMPPB",333.4462
"FBLN1","FBLN1",1094.862
"GNA11","GNA11",540.6118
"CTSF","CTSF",708.42195
"PDK3","PDK3",159.7956
"DSTYK","DSTYK",615.1452
"PRDM16","PRDM16",10.9851
"RAB28","RAB28",252.8732
"SCN2B","SCN2B",3.5088
"ANKS6","ANKS6",222.8559
"SLC13A3","SLC13A3",48.53015
"SLC26A6","SLC26A6",199.6085
"ACLY","ACLY",3801.9291
"SLC9A3R2","SLC9A3R2",628.28565
"SLC13A2","SLC13A2",0.3161
"CLDN10","CLDN10",0.9326
"CLDN2","CLDN2",6.8259
"PDZK1","PDZK1",11.5329
"SLC4A2","SLC4A2",1914.044
"PIK3C2G","PIK3C2G",0
"SLC4A3","SLC4A3",91.90095
"TRPV6","TRPV6",2.6629
"TRPV5","TRPV5",0
"CLDN8","CLDN8",2.06245
"CNTN2","CNTN2",2.3046
"MRPL44","MRPL44",994.54685
"ERBB4","ERBB4",2.9028
"PIGT","PIGT",3248.3259
"RPSA","RPSA",5082.32805
"AK7","AK7",10.7031
"THOC6","THOC6",486.9807
"MRC1","MRC1",217.4599
"NFKB2","NFKB2",921.4016
"HDAC6","HDAC6",998.7974
"GDF1","GDF1",2.3197
"NANOS1","NANOS1",170.6064
"TUBG1","TUBG1",988.0637
"KIF2A","KIF2A",456.42485
"KIF5C","KIF5C",30.93
"PHC1","PHC1",338.78165
"PRIMPOL","PRIMPOL",147.52395
"GUCY1A3","GUCY1A3",186.4035
"CCT7","CCT7",4275.4803
"HNRNPA1","HNRNPA1",7373.66125
"HNRNPA2B1","HNRNPA2B1",14468.6087
"NDUFB9","NDUFB9",2010.5323
"LRPAP1","LRPAP1",2769.7235
"CTSH","CTSH",2240.19475
"MMP14","MMP14",9330.6718
"ELMOD3","ELMOD3",240.6037
"ARL2BP","ARL2BP",1504.7334
"LARS","LARS",2615.63795
"PRKG1","PRKG1",31.70305
"AQP5","AQP5",37.4404
"TRDN","TRDN",0.99455
"CYC1","CYC1",2795.9162
"ZMYND10","ZMYND10",24.8429
"MRAP2","MRAP2",5.6694
"TM4SF20","TM4SF20",0.3372
"ARMC4","ARMC4",0.309
"NID1","NID1",1507.1642
"LAMC1","LAMC1",5318.5164
"FGF16","FGF16",0
"KCND3","KCND3",4.29525
"EEF2","EEF2",42996.9407
"MALT1","MALT1",617.94495
"FBXL4","FBXL4",273.8381
"GNAO1","GNAO1",114.8325
"KRT19","KRT19",19933.14765
"NEFM","NEFM",2.4324
"KRT6C","KRT6C",1.6858
"RSPH1","RSPH1",4.4199
"SZT2","SZT2",628.4634
"BCAP31","BCAP31",5541.6402
"DYX1C1","DYX1C1",68.6125
"ASXL3","ASXL3",1.5139
"MARS","MARS",2242.5716
"LRRC39","LRRC39",14.1243
"UBE4B","UBE4B",1142.1244
"EXTL2","EXTL2",252.4315
"AMY2A","AMY2A",0.7582
"CASZ1","CASZ1",268.1897
"NTNG1","NTNG1",6.7975
"HENMT1","HENMT1",149.3661
"FNDC7","FNDC7",0
"KIAA1324","KIAA1324",68.545
"CELSR2","CELSR2",1501.5093
"LRIF1","LRIF1",431.2416
"PIFO","PIFO",24.0631
"ADORA3","ADORA3",80.7377
"WNT2B","WNT2B",13.2215
"MOV10","MOV10",891.2543
"DENND2C","DENND2C",23.7806
"PTCHD2","PTCHD2",2.2574
"SYCP1","SYCP1",0
"MAB21L3","MAB21L3",220.2043
"CD101","CD101",39.6231
"SPAG17","SPAG17",8.0999
"HAO2","HAO2",0
"NBPF7","NBPF7",0.5705
"TNFRSF1B","TNFRSF1B",677.8306
"DHRS3","DHRS3",1094.4822
"C1ORF158","C1ORF158",0
"ITGA10","ITGA10",28.7194
"ANKRD35","ANKRD35",13.3476
"PRKAB2","PRKAB2",634.18995
"BCL9","BCL9",752.9188
"OTUD7B","OTUD7B",787.45925
"SEMA6C","SEMA6C",83.9514
"PIP5K1A","PIP5K1A",1542.5128
"PI4KB","PI4KB",2437.1891
"THEM5","THEM5",2.3342
"TCHHL1","TCHHL1",0
"HRNR","HRNR",7.4184
"CRNN","CRNN",0
"LCE2B","LCE2B",0
"LCE1A","LCE1A",0
"SPRR3","SPRR3",1.5634
"PGLYRP3","PGLYRP3",0
"PGLYRP4","PGLYRP4",0.3128
"S100A7","S100A7",0
"NUP210L","NUP210L",0.5634
"ATP8B2","ATP8B2",901.7157
"ASH1L","ASH1L",1580.26385
"YY1AP1","YY1AP1",1682.4959
"SYT11","SYT11",256.08015
"UBQLN4","UBQLN4",1781.68375
"CCT3","CCT3",6603.64475
"C1ORF61","C1ORF61",1.7701
"IQGAP3","IQGAP3",484.31475
"ARHGEF11","ARHGEF11",1444.4746
"ETV3L","ETV3L",4.2559
"FCRL4","FCRL4",0.5029
"FCRL1","FCRL1",2.81395
"CD1D","CD1D",27.11665
